"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"classic_bike","casual","30 to 60 min.","Tuesday","October",11
"electric_bike","member","up to 10 min.","Friday","July",21
"electric_bike","casual","10 to 30 min.","Friday","May",15
"electric_bike","member","10 to 30 min.","Friday","November",7
"electric_bike","member","10 to 30 min.","Wednesday","June",7
"electric_bike","member","up to 10 min.","Wednesday","September",12
"classic_bike","member","up to 10 min.","Saturday","October",12
"electric_scooter","casual","30 to 60 min.","Tuesday","September",20
"classic_bike","member","10 to 30 min.","Thursday","May",18
"electric_bike","member","10 to 30 min.","Monday","December",17
"classic_bike","member","up to 10 min.","Saturday","November",10
"electric_bike","casual","up to 10 min.","Thursday","April",14
"classic_bike","member","up to 10 min.","Saturday","September",10
"electric_bike","casual","up to 10 min.","Sunday","November",4
"classic_bike","member","10 to 30 min.","Sunday","June",12
"classic_bike","member","10 to 30 min.","Sunday","June",15
"electric_bike","member","30 to 60 min.","Wednesday","April",15
"classic_bike","casual","up to 10 min.","Thursday","May",17
"classic_bike","member","30 to 60 min.","Friday","August",14
"classic_bike","member","up to 10 min.","Friday","May",20
"classic_bike","member","up to 10 min.","Wednesday","August",18
"electric_bike","member","up to 10 min.","Thursday","July",17
"electric_bike","member","10 to 30 min.","Saturday","August",16
"electric_bike","casual","10 to 30 min.","Saturday","September",19
"electric_bike","member","10 to 30 min.","Tuesday","June",4
"classic_bike","casual","over 60 min.","Sunday","April",14
"electric_bike","casual","up to 10 min.","Thursday","July",16
"electric_bike","casual","up to 10 min.","Wednesday","October",1
"classic_bike","member","up to 10 min.","Monday","October",10
"electric_bike","member","10 to 30 min.","Sunday","April",15
"electric_bike","member","10 to 30 min.","Tuesday","July",20
"classic_bike","casual","10 to 30 min.","Wednesday","July",12
